Nome,parametro,valor
avermelha,Area,20922
avermelha,nKt,6
avermelha,Kt2,0
avermelha,Kt1,0.423543565732212
avermelha,Kt0,0.190291220899589
avermelha,Kt-1,0.13321483817336
avermelha,Kt-2,0.114607159587749
avermelha,Kt-3,0.13834321560709
avermelha,Kt-4,0
avermelha,Kt-5,0
avermelha,Kt-6,0
avermelha,Kt-7,0
avermelha,Kt-8,0
avermelha,Kt-9,0
avermelha,Kt-10,0
avermelha,Kt-11,0
avermelha,Kt-12,0
avermelha,Kt-13,0
avermelha,Kt-14,0
avermelha,Kt-15,0
avermelha,Kt-16,0
avermelha,Kt-17,0
avermelha,Kt-18,0
avermelha,Kt-19,0
avermelha,Kt-20,0
avermelha,Kt-21,0
avermelha,Kt-22,0
avermelha,Kt-23,0
avermelha,Kt-24,0
avermelha,Kt-25,0
avermelha,Kt-26,0
avermelha,Kt-27,0
avermelha,Kt-28,0
avermelha,Kt-29,0
avermelha,Kt-30,0
avermelha,Kt-31,0
avermelha,Kt-32,0
avermelha,Kt-33,0
avermelha,Kt-34,0
avermelha,Kt-35,0
avermelha,Kt-36,0
avermelha,Kt-37,0
avermelha,Kt-38,0
avermelha,Kt-39,0
avermelha,Kt-40,0
avermelha,Kt-41,0
avermelha,Kt-42,0
avermelha,Kt-43,0
avermelha,Kt-44,0
avermelha,Kt-45,0
avermelha,Kt-46,0
avermelha,Kt-47,0
avermelha,Kt-48,0
avermelha,Kt-49,0
avermelha,Kt-50,0
avermelha,Kt-51,0
avermelha,Kt-52,0
avermelha,Kt-53,0
avermelha,Kt-54,0
avermelha,Kt-55,0
avermelha,Kt-56,0
avermelha,Kt-57,0
avermelha,Kt-58,0
avermelha,Kt-59,0
avermelha,Kt-60,0
avermelha,Str,146.973005605702
avermelha,K2t,7.84959348814869
avermelha,Crec,11.512592973232
avermelha,Ai,0.5
avermelha,Capc,17.1024505583753
avermelha,K_kt,148.649306190398
avermelha,K2t2,10
avermelha,H1,200
avermelha,H,200
avermelha,K3t,10
avermelha,K1t,10
avermelha,Ecof,1.5395039500387
avermelha,Pcof,1.000001
avermelha,Ecof2,0.8
avermelha,ktMin,3
avermelha,ktMax,1
baixoig,Area,22543
baixoig,nKt,4
baixoig,Kt2,0.303301292420338
baixoig,Kt1,0.553206765831547
baixoig,Kt0,0.142822205591488
baixoig,Kt-1,0.000669736156627197
baixoig,Kt-2,0
baixoig,Kt-3,0
baixoig,Kt-4,0
baixoig,Kt-5,0
baixoig,Kt-6,0
baixoig,Kt-7,0
baixoig,Kt-8,0
baixoig,Kt-9,0
baixoig,Kt-10,0
baixoig,Kt-11,0
baixoig,Kt-12,0
baixoig,Kt-13,0
baixoig,Kt-14,0
baixoig,Kt-15,0
baixoig,Kt-16,0
baixoig,Kt-17,0
baixoig,Kt-18,0
baixoig,Kt-19,0
baixoig,Kt-20,0
baixoig,Kt-21,0
baixoig,Kt-22,0
baixoig,Kt-23,0
baixoig,Kt-24,0
baixoig,Kt-25,0
baixoig,Kt-26,0
baixoig,Kt-27,0
baixoig,Kt-28,0
baixoig,Kt-29,0
baixoig,Kt-30,0
baixoig,Kt-31,0
baixoig,Kt-32,0
baixoig,Kt-33,0
baixoig,Kt-34,0
baixoig,Kt-35,0
baixoig,Kt-36,0
baixoig,Kt-37,0
baixoig,Kt-38,0
baixoig,Kt-39,0
baixoig,Kt-40,0
baixoig,Kt-41,0
baixoig,Kt-42,0
baixoig,Kt-43,0
baixoig,Kt-44,0
baixoig,Kt-45,0
baixoig,Kt-46,0
baixoig,Kt-47,0
baixoig,Kt-48,0
baixoig,Kt-49,0
baixoig,Kt-50,0
baixoig,Kt-51,0
baixoig,Kt-52,0
baixoig,Kt-53,0
baixoig,Kt-54,0
baixoig,Kt-55,0
baixoig,Kt-56,0
baixoig,Kt-57,0
baixoig,Kt-58,0
baixoig,Kt-59,0
baixoig,Kt-60,0
baixoig,Str,121.98269048799
baixoig,K2t,2.77963293438712
baixoig,Crec,7.2344432247898
baixoig,Ai,0
baixoig,Capc,47.8574274475114
baixoig,K_kt,17.7493898020017
baixoig,K2t2,10
baixoig,H1,200
baixoig,H,200
baixoig,K3t,10
baixoig,K1t,10
baixoig,Ecof,1.13735350650139
baixoig,Pcof,1
baixoig,Ecof2,0
baixoig,ktMin,1
baixoig,ktMax,2
candonga,Area,8900
candonga,nKt,6
candonga,Kt2,0.0333082527418477
candonga,Kt1,0.32910930150988
candonga,Kt0,0.441899304717217
candonga,Kt-1,0.181019313193666
candonga,Kt-2,0.014661603394796
candonga,Kt-3,2.22444259341893e-06
candonga,Kt-4,0
candonga,Kt-5,0
candonga,Kt-6,0
candonga,Kt-7,0
candonga,Kt-8,0
candonga,Kt-9,0
candonga,Kt-10,0
candonga,Kt-11,0
candonga,Kt-12,0
candonga,Kt-13,0
candonga,Kt-14,0
candonga,Kt-15,0
candonga,Kt-16,0
candonga,Kt-17,0
candonga,Kt-18,0
candonga,Kt-19,0
candonga,Kt-20,0
candonga,Kt-21,0
candonga,Kt-22,0
candonga,Kt-23,0
candonga,Kt-24,0
candonga,Kt-25,0
candonga,Kt-26,0
candonga,Kt-27,0
candonga,Kt-28,0
candonga,Kt-29,0
candonga,Kt-30,0
candonga,Kt-31,0
candonga,Kt-32,0
candonga,Kt-33,0
candonga,Kt-34,0
candonga,Kt-35,0
candonga,Kt-36,0
candonga,Kt-37,0
candonga,Kt-38,0
candonga,Kt-39,0
candonga,Kt-40,0
candonga,Kt-41,0
